stock,buy_date,sell_date,buy_price,sell_price,hold_days,profit_loss_pct,trade_profit
NMDC,2020-10-01,2021-01-05,82.65,121.0,65,46.400483968542034,92800.96793708406
NMDC,2020-12-17,2021-01-05,115.65,121.0,12,4.626026805015126,9252.053610030252
NMDC,2021-04-05,2021-10-19,141.05,152.0,134,7.763204537398077,15526.409074796155
NMDC,2021-04-30,2021-10-19,155.05,152.0,117,-1.9671073847146152,-3934.2147694292307
NMDC,2021-07-01,2021-10-19,184.7,152.0,74,-17.70438548998375,-35408.7709799675
NMDC,2022-12-30,2023-05-05,123.25,108.4,83,-12.048681541582146,-24097.36308316429
APOLLOHOSP,2021-08-06,2022-03-15,4093.0,4840.0,150,18.250671878817492,36501.34375763498
MFSL,2023-01-11,2023-08-11,795.0,834.5,144,4.968553459119497,9937.106918238995
AMBUJACEM,2020-02-07,2020-07-22,210.35,202.35,110,-3.8031851675778467,-7606.370335155693
LICHSGFIN,2019-10-31,2020-05-14,415.0,262.6,132,-36.722891566265055,-73445.78313253011
LICHSGFIN,2019-11-01,2020-05-14,427.05,262.6,131,-38.50837138508371,-77016.74277016742
LICHSGFIN,2020-06-05,2020-08-26,263.4,298.4,58,13.28777524677297,26575.55049354594
LICHSGFIN,2020-12-08,2021-03-04,355.35,454.95,60,28.02870409455465,56057.4081891093
LICHSGFIN,2020-12-31,2021-03-04,361.2,454.95,44,25.95514950166113,51910.29900332226
LICHSGFIN,2021-01-12,2021-03-04,439.25,454.95,36,3.57427433124644,7148.548662492881
FEDERALBNK,2019-12-18,2020-01-10,86.0,88.9,16,3.3720930232558204,6744.186046511641
FEDERALBNK,2020-11-13,2021-02-26,56.65,83.55,72,47.484554280670785,94969.10856134158
FEDERALBNK,2021-01-07,2021-02-26,75.65,83.55,35,10.442828816920015,20885.65763384003
CUB,2020-08-27,2021-02-26,138.55,165.65,127,19.559725730783107,39119.45146156621
CUB,2020-08-28,2021-02-26,149.8,165.65,126,10.58077436582109,21161.548731642182
CUB,2020-09-01,2021-02-26,141.6,165.65,124,16.984463276836166,33968.92655367233
CUB,2020-10-08,2021-02-26,148.05,165.65,98,11.887875717662947,23775.751435325896
JKCEMENT,2021-01-07,2021-04-09,2289.0,2995.0,62,30.843162953254698,61686.325906509395
INDIGO,2020-01-15,2020-05-04,1451.4,926.0,72,-36.1995314868403,-72399.0629736806
INDIGO,2020-01-16,2020-05-04,1454.8,926.0,71,-36.348638988177065,-72697.27797635412
INDIGO,2023-06-07,2023-12-14,2417.0,2983.9,130,23.454695904013242,46909.391808026485
GODREJPROP,2020-01-15,2020-04-08,975.05,684.0,57,-29.849751294805394,-59699.50258961078
KOTAKBANK,2020-01-15,2020-02-01,1681.6,1652.0,13,-1.760228353948615,-3520.45670789723
KOTAKBANK,2021-09-03,2022-02-24,1792.8,1783.0,119,-0.5466309683177127,-1093.2619366354256
NATIONALUM,2021-09-02,2021-10-19,89.45,114.25,31,27.724986025712685,55449.972051425364
NATIONALUM,2022-10-06,2022-10-28,72.7,69.95,15,-3.782668500687758,-7565.337001375516
ZEEL,2020-12-09,2021-04-22,215.85,192.25,89,-10.933518647208707,-21867.037294417416
ZEEL,2021-09-09,2022-03-25,182.8,295.6,134,61.70678336980306,123413.56673960613
MPHASIS,2021-06-01,2021-12-29,1957.0,3308.6,145,69.0648952478283,138129.7904956566
MPHASIS,2022-02-04,2022-05-19,3054.4,2453.4,69,-19.6765322158198,-39353.0644316396
AXISBANK,2020-10-22,2021-02-26,510.05,725.6,88,42.260562689932364,84521.12537986472
AXISBANK,2020-11-13,2021-02-26,610.3,725.6,72,18.892348025561212,37784.696051122424
AXISBANK,2021-01-01,2021-02-26,623.4,725.6,39,16.39396855951236,32787.93711902472
EICHERMOT,2020-10-01,2021-04-09,2200.0,2523.7,129,14.713636363636356,29427.272727272713
EICHERMOT,2022-09-14,2023-04-05,3536.5,2942.0,138,-16.810405768415098,-33620.811536830195
IRCTC,2020-04-08,2020-07-03,238.84,281.01,58,17.656171495561875,35312.342991123754
IRCTC,2020-04-09,2020-07-03,250.78,281.01,57,12.054390302256953,24108.780604513908
IRCTC,2020-04-13,2020-07-03,259.0,281.01,56,8.498069498069496,16996.138996138994
IRCTC,2020-05-27,2020-07-03,277.6,281.01,27,1.2283861671469625,2456.772334293925
IRCTC,2021-09-03,2021-12-29,573.6,848.2,79,47.873082287308236,95746.16457461647
IRCTC,2021-09-13,2021-12-29,689.0,848.2,74,23.105950653120473,46211.90130624095
IRCTC,2021-09-17,2021-12-29,775.0,848.2,70,9.445161290322586,18890.32258064517
IRCTC,2021-10-12,2021-12-29,963.8,848.2,53,-11.99418966590578,-23988.37933181156
IRCTC,2021-12-13,2021-12-29,859.0,848.2,12,-1.257275902211869,-2514.551804423738
IRCTC,2021-12-27,2021-12-29,838.7,848.2,2,1.1327053773697386,2265.410754739477
CONCOR,2020-10-22,2021-01-07,395.8,432.0,53,9.146033350176854,18292.066700353706
CONCOR,2020-11-26,2021-01-07,408.0,432.0,28,5.88235294117647,11764.70588235294
LTIM,2021-11-01,2021-12-20,6816.0,6712.0,33,-1.5258215962441315,-3051.6431924882627
LTIM,2022-06-02,2022-12-28,4340.5,4331.55,143,-0.20619744269093002,-412.39488538186004
HDFCBANK,2020-10-08,2021-03-31,1189.1,1494.8,119,25.708519048019518,51417.03809603904
HDFCBANK,2020-10-09,2021-03-31,1235.2,1494.8,118,21.016839378238334,42033.678756476664
HDFCBANK,2020-10-14,2021-03-31,1212.45,1494.8,115,23.287558249824727,46575.116499649455
HDFCBANK,2021-01-14,2021-03-31,1474.0,1494.8,51,1.4111261872455871,2822.252374491174
HDFCBANK,2021-02-05,2021-03-31,1597.2,1494.8,36,-6.411219634360135,-12822.43926872027
HDFCBANK,2023-04-05,2023-10-18,1654.0,1519.1,133,-8.155985489721893,-16311.970979443786
GUJGASLTD,2019-11-01,2020-01-10,197.0,262.4,48,33.197969543147195,66395.93908629438
GUJGASLTD,2019-11-04,2020-01-10,207.7,262.4,47,26.336061627347128,52672.123254694256
TATAMOTORS,2020-11-09,2021-05-19,141.0,314.1,128,122.76595744680851,245531.91489361704
TATAMOTORS,2020-11-10,2021-05-19,145.9,314.1,127,115.28444139821796,230568.88279643594
TATAMOTORS,2020-11-20,2021-05-19,168.2,314.1,119,86.74197384066589,173483.94768133177
TATAMOTORS,2020-11-23,2021-05-19,170.45,314.1,118,84.27691405104139,168553.82810208277
TATAMOTORS,2021-01-07,2021-05-19,196.5,314.1,87,59.84732824427482,119694.65648854965
TATAMOTORS,2021-01-13,2021-05-19,242.85,314.1,83,29.33909820877086,58678.196417541716
TATAMOTORS,2021-01-14,2021-05-19,245.25,314.1,82,28.073394495412852,56146.788990825706
TATAMOTORS,2021-01-15,2021-05-19,261.6,314.1,81,20.068807339449542,40137.61467889909
TATAMOTORS,2021-08-06,2021-08-31,300.2,287.6,16,-4.19720186542304,-8394.40373084608
TATAMOTORS,2021-10-13,2022-01-04,510.0,489.5,56,-4.019607843137255,-8039.215686274509
