stock,buy_date,sell_date,buy_price,sell_price,hold_days,profit_loss_pct
TORNTPHARM,2022-08-04,2022-09-14,1563.0,1501.0,41,-3.966730646193218
TORNTPHARM,2023-05-23,2023-08-09,1690.0,2075.0,78,22.781065088757398
TORNTPHARM,2023-05-31,2023-08-18,1811.05,1981.0,79,9.384058971314985
TORNTPHARM,2023-06-28,2023-08-31,1930.7,1841.75,64,-4.607137307712231
TORNTPHARM,2023-08-04,2023-08-11,2056.25,1990.3,7,-3.20729483282675
MPHASIS,2023-01-24,2023-02-27,2111.9,2050.0,34,-2.931009991003366
MPHASIS,2023-07-13,2023-09-05,1930.0,2515.2,54,30.321243523316056
MPHASIS,2023-08-24,2023-08-28,2465.0,2325.0,4,-5.679513184584178
MPHASIS,2023-09-05,2023-09-06,2515.2,2475.0,1,-1.5982824427480846
SUNTV,2023-05-15,2023-05-18,449.0,426.65,3,-4.977728285077957
SUNTV,2023-08-23,2023-11-20,568.5,681.05,89,19.797713280562874
SUNTV,2023-08-31,2023-09-04,617.9,610.05,4,-1.2704321087554657
SUNTV,2023-11-13,2024-01-12,672.5,708.0,60,5.278810408921933
ABB,2021-12-09,2022-01-03,2325.05,2204.0,25,-5.206339648609715
ABB,2022-05-05,2022-07-28,2224.0,2737.0,84,23.06654676258993
ABB,2022-08-24,2022-11-22,3065.0,3068.0,90,0.09787928221859706
EICHERMOT,2022-09-20,2022-09-26,3720.0,3506.55,6,-5.737903225806447
EICHERMOT,2023-08-30,2023-08-31,3396.95,3341.0,1,-1.6470657501582249
EICHERMOT,2023-09-26,2023-10-03,3477.2,3348.9,7,-3.689750373864021
EICHERMOT,2023-11-06,2023-12-05,3517.85,4140.0,29,17.68551814318405
EICHERMOT,2023-11-13,2023-12-13,3639.75,4036.0,30,10.886736726423518
HDFCAMC,2022-10-19,2022-12-19,1952.0,2289.7,61,17.300204918032776
OFSS,2022-04-04,2022-04-13,3668.65,3569.55,9,-2.7012661333187933
OFSS,2023-03-31,2023-06-20,3279.0,3924.95,81,19.699603537663915
AMBUJACEM,2022-06-02,2022-06-03,373.9,368.5,1,-1.4442364268520935
AMBUJACEM,2022-11-14,2022-12-14,581.5,583.0,30,0.2579535683576956
AMBUJACEM,2023-04-28,2023-05-03,397.0,382.6,5,-3.627204030226695
AMBUJACEM,2023-05-22,2023-06-21,426.1,450.7,30,5.773292654306492
AMBUJACEM,2023-12-04,2024-01-04,474.5,548.0,31,15.489989462592202
BSOFT,2021-12-13,2021-12-20,506.85,467.5,7,-7.763638157245738
BSOFT,2021-12-23,2022-01-20,530.2,502.25,28,-5.271595624292727
BSOFT,2022-03-24,2022-03-28,481.25,453.9,4,-5.683116883116888
BSOFT,2022-04-05,2022-04-12,489.9,463.45,7,-5.399061032863848
BSOFT,2023-05-09,2023-08-01,308.25,433.0,84,40.470397404703974
NTPC,2022-04-01,2022-04-21,142.8,162.75,20,13.970588235294109
NTPC,2022-04-18,2022-05-05,163.75,158.45,17,-3.236641221374053
NTPC,2022-10-27,2022-11-15,171.25,172.35,19,0.6423357664233543
NTPC,2023-09-01,2023-09-20,231.35,241.85,19,4.53857791225416
ICICIGI,2023-05-10,2023-05-19,1107.6,1075.0,9,-2.943300830624766
ICICIGI,2023-05-29,2023-08-08,1190.3,1412.85,71,18.696967151138367
DEEPAKNTR,2021-12-28,2022-01-10,2445.0,2592.0,13,6.012269938650307
DEEPAKNTR,2022-01-03,2022-01-14,2532.0,2655.0,11,4.857819905213271
DEEPAKNTR,2023-05-24,2023-06-06,2130.05,2132.0,13,0.09154714678058345
DEEPAKNTR,2023-06-20,2023-06-30,2241.0,2174.4,10,-2.9718875502007993
DEEPAKNTR,2023-08-29,2023-09-11,2177.0,2334.1,13,7.216352779053739
DEEPAKNTR,2023-11-23,2023-12-07,2208.0,2255.0,14,2.1286231884057973
