stock,Monday,Tuesday,Wednesday,Thursday,Friday
LICHSGFIN,-184.1977263257157,95.10453151740558,21.322909370448997,54.67454793998575,-31.266470358807464
LT,367.20401796947846,68.30034965587869,19.288926564859654,46.760946144732074,29.57005920231771
LTIM,-30.24551922363952,117.80833005145466,86.99078354884458,38.14145976880059,19.524121512449973
LTTS,-124.59649887921054,8.447008756784157,74.8414753051706,110.91780596054501,79.22418143696146
LUPIN,669.1800957528358,50.36315340185257,7.284992543512336,5.329160045714975,4.745830509711302
M&M,-50.14469811656448,71.15967142643728,36.25947433902614,43.864016017329,6.112404009210825
M&MFIN,-224.83229632620663,124.05892086258778,92.30966274123043,65.16964489793294,-46.003910784249605
MANAPPURAM,-120.4744728470041,17.651444061402803,26.83715420530683,134.34922306164907,-18.337131529733842
MARICO,18.261605399472295,65.22779015362997,9.786572173234909,24.771315426967412,-10.74187158685308
MARUTI,1608.8880880971017,92.2543171190153,-27.28263331715105,-4.903886241030209,11.031927247375426
MCDOWELL-N,-121.09253613051814,55.946029792357955,17.831541781325097,67.9500486772889,27.538278276748464
MCX,204.10714872371912,87.13911580719373,13.194660913356481,28.49042012217118,44.62478493265759
METROPOLIS,-19.95018189573057,42.77887436695986,19.157236364150386,-8.292258547551068,24.89352994053646
MFSL,61.40391271605559,95.65812363566978,5.346987880881093,113.32661882815327,-47.126786333192754
MGL,43.47075514538087,74.45478397495857,15.32378746294485,25.02339503009233,-73.02942466955938
MIDCPNIFTY,869.7585503705072,18.80682740047196,9.244684624589073,9.097562899319012,-9.888400874773506
MOTHERSON,-79.94497711105208,76.19848924036124,-1.053262366540665,39.25952499647821,-61.19802562183641
MPHASIS,145.9456387681007,36.03671271124745,70.73546211577087,80.05777614750738,-4.250527800109562
MRF,6083.480388883622,75.43668799053343,-1.1444091382884372,-11.40957139438774,88.68261673521835
MUTHOOTFIN,-57.2824222477184,23.025774166334088,1.4895550017760537,93.45479313484735,6.074053961871395
NATIONALUM,-77.74481318324229,12.962500467621197,-2.3599346540184047,109.84687638400383,-10.125111273146903
NAUKRI,292.7585060905221,157.76679709674391,71.8484915654879,33.406866227271834,54.76054498723296
NAVINFLUOR,-162.21578962139202,195.05275278915826,7.5293323415410836,45.469386537281274,35.72035844154888
NESTLEIND,-58.62911209630236,63.28259879483996,40.30522213335887,926.4855634294358,-71.79096430499983
NIFTY 50,658.2129877239014,72.05341371676856,13.700456252442194,8.565439376471684,21.519224482422562
NIFTY BANK,253.2754969816468,74.00368240765737,21.7566351907169,7.205320626886113,18.416891852671913
NIFTY FINANCIAL SERVICES,201.59351417562917,82.83314012861597,20.39738366725069,9.755964563645502,23.465401298314845
NIFTY MIDCAP SELECT,205.85544004063652,18.355444264591224,8.313752802527663,15.91495104833024,-7.446927806437564
