stock,year,Monday,Tuesday,Wednesday,Thursday,Friday
NESTLEIND,2020,29.400306108251,27.593407360849216,24.794121630773407,24.76746554416457,24.912588611153016
NESTLEIND,2021,5.083004468216953,3.9885794785488877,5.137343767745984,6.749186745327224,6.865671641791045
NESTLEIND,2022,1.0773114451008,-0.6679053884397105,-0.3615666215335143,0.9122878548494008,-1.7058404200845398
NESTLEIND,2023,23.98132557783559,29.590180564008932,31.57625383828045,32.610124917817224,33.95173453996984
NESTLEIND,2024,-3.888320420991086,-4.836296426685446,-3.1183203669407784,-5.652281207067379,-4.238971552790372
NIFTY 50,2017,4.813060779833862,7.093183564041121,5.787185481794185,6.0389630124912665,6.1760211414997865
NIFTY 50,2018,4.1160034316004355,4.547609810767706,2.79752076004499,2.5544127515979986,2.8140341907047763
NIFTY 50,2019,13.816250644111546,11.580133682122407,13.427179962894256,13.711015495373882,14.166829750156081
NIFTY 50,2020,15.78982490970212,15.47387578613093,14.669658827969876,13.716023399430888,12.451931730784962
NIFTY 50,2021,20.916100158021454,21.367602628298574,21.618007577445955,21.772703016938248,23.896725674451126
NIFTY 50,2022,2.122158051867414,1.8455862326511328,1.1123706561981757,2.616927758368091,1.6772176763084852
NIFTY 50,2023,17.583935372440468,17.658204592443923,20.026224091235456,20.966344070489683,21.61917848856898
NIFTY 50,2024,-0.8211365433425106,-0.5057359831959896,0.4725024043263971,-0.0009229519695660725,0.9152654016320041
NIFTY BANK,2017,6.630246047377337,6.945679356822926,5.272633957765955,4.951191972736034,5.14772050995339
NIFTY BANK,2018,7.471643013586428,7.394893264084988,6.6559662641183,5.5682460437076,5.858141522800629
NIFTY BANK,2019,18.59280466427445,17.39930648659395,18.854685086270553,18.900653718546405,19.159233233649047
NIFTY BANK,2020,-0.9998815192435163,-0.18943554574948027,-2.706753110128269,-3.68409611918854,-4.443415695590092
NIFTY BANK,2021,12.253178641829047,10.937342299152201,10.104318292091204,9.882551647561105,13.773206181586911
NIFTY BANK,2022,16.900869674903642,16.33201516682832,13.638766473014924,15.582011958756839,13.993871026695736
NIFTY BANK,2023,10.703885572334928,9.92937591416015,12.333642006905613,13.770079043175151,14.332512198588281
NIFTY BANK,2024,-1.2489519248173861,-1.0052284033615329,-0.7943265976867844,-1.657864518776776,-0.7579672337731068
NIFTY FINANCIAL SERVICES,2017,7.07304487326864,7.7051026152822555,6.191353375806554,5.457733097546033,5.799268524318536
NIFTY FINANCIAL SERVICES,2018,11.706350163251326,10.687783328039737,10.59102155558337,9.900567637019131,10.488366658877714
NIFTY FINANCIAL SERVICES,2019,26.44913313000678,24.404558501913602,26.29429439801063,26.857552021935234,26.843069161526646
NIFTY FINANCIAL SERVICES,2020,5.501638628691307,5.550377530396171,3.961703645769019,3.386284069528897,1.981099030913242
NIFTY FINANCIAL SERVICES,2021,12.550064562339621,11.67977168341227,11.26088159200743,11.188464257226064,14.269522240527193
NIFTY FINANCIAL SERVICES,2022,6.473939649715129,5.797097418382284,3.5725598566934518,5.228571035280182,4.356026289347535
NIFTY FINANCIAL SERVICES,2023,12.296000670395745,10.827474873717652,12.898840716131913,14.587563975290834,15.385710486801853
NIFTY FINANCIAL SERVICES,2024,-0.45629971785156787,-0.660247786283169,-0.1936959490748937,-1.3190033062149376,-0.8371919864113431
NIFTY MIDCAP SELECT,2022,4.671289219704189,5.071761908954835,4.795907180705286,3.2891889552497187,3.7197119478157967
NIFTY MIDCAP SELECT,2023,42.7885982124904,42.73525025146544,44.72777879303316,44.98652554561068,45.9973024994029
NIFTY MIDCAP SELECT,2024,0.33819813414551075,0.5545821809704534,0.630066908481333,-1.065304944131824,-0.14820707321807877
NIFTY50,2017,4.813060779833862,7.093183564041121,5.787185481794185,6.0389630124912665,6.1760211414997865
NIFTY50,2018,4.1160034316004355,4.547609810767706,2.79752076004499,2.5544127515979986,2.8140341907047763
NIFTY50,2019,13.816250644111546,11.580133682122407,13.427179962894256,13.711015495373882,14.166829750156081
NIFTY50,2020,15.78982490970212,15.47387578613093,14.669658827969876,13.716023399430888,12.451931730784962
NIFTY50,2021,20.916100158021454,21.367602628298574,21.618007577445955,21.772703016938248,23.896725674451126
NIFTY50,2022,2.122158051867414,1.8455862326511328,1.1123706561981757,2.616927758368091,1.6772176763084852
NIFTY50,2023,8.153682667040114,9.181323110840566,11.417459257021056,11.81902021133569,10.762712101579282
NIFTYBANK,2017,6.630246047377337,6.945679356822926,5.272633957765955,4.951191972736034,5.14772050995339
NIFTYBANK,2018,7.471643013586428,7.394893264084988,6.6559662641183,5.5682460437076,5.858141522800629
NIFTYBANK,2019,18.59280466427445,17.39930648659395,18.854685086270553,18.900653718546405,19.159233233649047
NIFTYBANK,2020,-0.9998815192435163,-0.18943554574948027,-2.706753110128269,-3.68409611918854,-4.443415695590092
NIFTYBANK,2021,12.253178641829047,10.937342299152201,10.104318292091204,9.882551647561105,13.773206181586911
