stock,buy_date,sell_date,buy_price,sell_price,hold_days,profit_loss_pct
BANDHANBNK,2021-02-12,2021-04-05,338.0,335.8,33,-0.6508875739644936
LT,2020-03-25,2020-10-29,768.25,933.5,149,21.50992515457208
LT,2022-02-28,2022-03-04,1815.5,1711.0,3,-5.75599008537593
IPCALAB,2021-01-14,2021-01-28,1073.0,944.47,9,-11.978564771668218
IPCALAB,2021-11-29,2021-12-31,1062.5,1083.53,24,1.9792941176470562
IPCALAB,2022-06-13,2022-07-21,865.6,1009.0,28,16.56654343807763
LTTS,2022-05-17,2022-11-23,3684.0,3815.6,130,3.5722041259500523
LTTS,2022-06-28,2022-11-23,3164.0,3815.6,100,20.594184576485457
ICICIPRULI,2021-03-31,2021-04-12,444.55,445.0,7,0.10122595883477417
RECLTD,2022-03-08,2022-09-28,92.59,95.6,139,3.2508910249486886
ADANIPORTS,2021-07-02,2021-10-28,710.85,691.05,80,-2.7853977632411997
HINDUNILVR,2020-03-20,2020-08-31,2075.0,2105.0,110,1.4457831325301205
INDIAMART,2021-04-22,2021-10-25,3985.02,3681.0,127,-7.6290708704096835
INDIAMART,2023-05-26,2023-10-20,2779.62,2727.0,101,-1.8930645196105904
RELIANCE,2020-11-04,2021-01-27,1910.5,1890.0,57,-1.0730175346767863
RELIANCE,2022-09-30,2022-12-23,2377.0,2508.05,57,5.513251998317214
COROMANDEL,2020-10-21,2021-02-22,718.0,750.4,85,4.512534818941501
METROPOLIS,2021-08-27,2022-01-19,2711.0,2776.0,99,2.397639247510144
METROPOLIS,2021-11-26,2022-01-19,3042.35,2776.0,38,-8.75474550922806
PIIND,2021-09-29,2021-11-03,3248.75,2730.0,24,-15.96767987687572
PIIND,2022-02-04,2022-04-18,2553.0,2918.25,47,14.306698002350176
HDFCAMC,2021-07-06,2021-07-29,2886.0,2829.0,16,-1.9750519750519753
HDFCAMC,2021-07-30,2021-09-29,2857.0,2905.0,41,1.68008400420021
HDFCAMC,2022-12-29,2023-01-23,2184.0,2002.95,17,-8.289835164835162
HDFCAMC,2023-02-10,2023-06-09,1927.15,1940.0,79,0.6667877435591371
OBEROIRLTY,2020-02-18,2020-09-21,518.0,412.8,146,-20.308880308880305
OBEROIRLTY,2020-04-15,2020-09-21,310.8,412.8,111,32.818532818532816
OBEROIRLTY,2020-05-06,2020-09-21,338.25,412.8,97,22.039911308203994
INFY,2022-02-21,2022-04-18,1729.5,1622.4,36,-6.1925411968777055
INFY,2022-05-09,2022-11-21,1573.15,1567.8,134,-0.34008200108064307
INFY,2022-09-26,2022-11-21,1382.15,1567.8,37,13.431971927793644
INFY,2022-09-30,2022-11-21,1413.8,1567.8,33,10.892629792049794
BHEL,2020-03-13,2020-09-22,26.2,32.9,131,25.572519083969464
BHEL,2021-07-02,2021-11-29,65.95,57.9,100,-12.20621683093253
BHEL,2021-11-23,2021-11-29,63.9,57.9,4,-9.389671361502346
HINDCOPPER,2021-09-29,2021-10-29,112.35,127.2,21,13.217623497997339
HINDCOPPER,2021-11-23,2022-01-18,120.1,130.8,40,8.909242298084944
PIDILITIND,2022-10-31,2023-01-11,2591.0,2478.9,51,-4.326514859127746
PIDILITIND,2023-02-17,2023-05-22,2334.0,2540.0,60,8.826049700085688
DABUR,2021-11-01,2021-12-06,599.65,566.95,23,-5.453181022262975
DABUR,2022-10-20,2023-01-11,534.35,547.8,57,2.5170768223074633
DABUR,2023-02-23,2023-06-06,540.5,549.0,67,1.572617946345976
PFC,2020-03-13,2020-08-24,82.0,78.68,110,-4.04878048780487
PFC,2021-12-31,2022-01-18,95.72,99.44,12,3.8863351441704963
PFC,2022-03-08,2022-09-05,86.8,91.6,122,5.529953917050688
MOTHERSON,2022-09-30,2023-03-15,72.9,76.3,113,4.663923182441689
AUROPHARMA,2020-09-09,2021-03-12,804.95,846.55,127,5.168022858562632
SBILIFE,2022-02-10,2022-02-14,1147.5,1099.0,2,-4.226579520697168
DIVISLAB,2021-12-14,2021-12-20,4645.0,4410.0,4,-5.059203444564048
DIVISLAB,2022-12-12,2023-05-11,3338.2,3316.0,101,-0.6650290575759338
DIVISLAB,2023-01-23,2023-05-11,3383.5,3316.0,71,-1.9949756169646817
SBIN,2022-05-06,2022-05-12,486.0,462.7,4,-4.794238683127575
UBL,2021-08-17,2022-02-24,1408.95,1464.15,131,3.917811135952308
UBL,2023-02-07,2023-07-31,1586.0,1539.15,117,-2.9539722572509404
UBL,2023-02-17,2023-07-31,1472.8,1539.15,109,4.505024443237381
IDFC,2021-07-08,2021-08-17,52.9,46.95,27,-11.247637051039689
INDUSINDBK,2022-01-25,2022-05-04,881.6,984.7,65,11.694646098003632
PEL,2020-04-24,2020-09-04,866.9,1297.0,93,49.613565578498104
PEL,2020-09-08,2020-09-21,1301.3,1261.0,9,-3.0969030969030933
SIEMENS,2020-06-18,2020-09-21,1045.0,1228.0,67,17.51196172248804
BAJAJFINSV,2022-06-02,2022-12-23,1302.5,1495.5,140,14.817658349328214
BAJAJFINSV,2022-07-01,2022-12-23,1131.5,1495.5,119,32.169686257180736
BAJAJFINSV,2022-11-28,2022-12-23,1649.95,1495.5,19,-9.360889723931031
BAJFINANCE,2020-03-13,2020-08-12,3965.0,3421.0,102,-13.720050441361916
BAJFINANCE,2020-05-12,2020-08-12,2074.05,3421.0,65,64.94298594537257
BAJFINANCE,2020-05-27,2020-08-12,1934.4,3421.0,55,76.85070306038048
BAJFINANCE,2023-01-30,2023-05-09,6024.5,6558.15,65,8.857996514233541
M&M,2022-12-28,2023-03-10,1254.1,1227.65,50,-2.1090822103500373
PERSISTENT,2022-06-23,2022-11-17,3399.45,3758.0,99,10.547294415273065
MUTHOOTFIN,2020-09-11,2021-01-29,1131.0,1109.35,96,-1.914235190097267
MUTHOOTFIN,2021-05-06,2021-05-11,1173.0,1197.85,3,2.1184995737425325
MUTHOOTFIN,2021-12-09,2021-12-20,1508.0,1410.0,7,-6.49867374005305
MUTHOOTFIN,2022-06-08,2022-12-06,1075.0,1111.2,123,3.36744186046512
MUTHOOTFIN,2022-07-15,2022-12-06,1017.3,1111.2,96,9.230315541138316
MCDOWELL-N,2020-11-03,2020-11-23,508.85,567.0,14,11.427729193278957
MCDOWELL-N,2021-08-11,2022-03-07,646.9,771.0,141,19.183799659916527
MCDOWELL-N,2023-02-15,2023-05-23,789.8,820.15,63,3.8427449987338593
IEX,2023-01-23,2023-03-20,138.6,150.55,38,8.621933621933636
IEX,2023-02-15,2023-03-20,134.6,150.55,22,11.849925705794961
